Challenge Area,Challenge Sub-Area,Challenge Component,Benchmark ID,Dataset,Data Producer,Year,Producer ID,Indicator Title,Indicator ID,Source Indicator ID,Indicator Question,Indicator Description,Value Max,Possible Text Values,Qual. Assessment,URL(s),Core vs Context,Cluster?,Primary,Secondary,Rest,All
Access to Information,Performance Data,Legal Requirements,ati_data_01,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ati_data_colreq,G.PI.RTI.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: Alternately framed as right to information (RTI), freedom of information (FOI), and access to information (ATI), most countries around the world have some provision by which members of a public can request information that is held by government. Significant differences exist in terms of which branches of government a request can be made of, and what types of exemptions are allowed. Further, in some countries distinct frameworks exist at multiple levels of government.

Taking the RTI process as foundational to the open information and data flows upon which much data for public good builds, this indicator examines the transparency of a country's RTI process, as evinced through its performance and administrative data.

This indicator thus focuses on frameworks that govern the performance data of RTI/FOI processes. (A separate indicator, built from secondary data, assesses RTI/FOI governance frameworks themselves.)
-This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Information is collected and published regarding the number of RTI/FOI requests submitted and filled.
-Information is collected and published regarding agencies' response times.
-Information is collected and published regarding material withheld from requesters, either partially or entirely, and the reasons for that withholding.
-Information is collected and published regarding appeals to RTI/FOI determinations and the results of these appeals.
-Published RTI performance information is linked to the relevant agency, department, or other governmental entity.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.RTI/
Data: https://globaldatabarometer.org/",Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Performance Data,Legal Requirements,ati_data_02,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ati_data_pubreq,G.PI.RTI.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: Alternately framed as right to information (RTI), freedom of information (FOI), and access to information (ATI), most countries around the world have some provision by which members of a public can request information that is held by government. Significant differences exist in terms of which branches of government a request can be made of, and what types of exemptions are allowed. Further, in some countries distinct frameworks exist at multiple levels of government.

Taking the RTI process as foundational to the open information and data flows upon which much data for public good builds, this indicator examines the transparency of a country's RTI process, as evinced through its performance and administrative data.

This indicator thus focuses on frameworks that govern the performance data of RTI/FOI processes. (A separate indicator, built from secondary data, assesses RTI/FOI governance frameworks themselves.)
-This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Information is collected and published regarding the number of RTI/FOI requests submitted and filled.
-Information is collected and published regarding agencies' response times.
-Information is collected and published regarding material withheld from requesters, either partially or entirely, and the reasons for that withholding.
-Information is collected and published regarding appeals to RTI/FOI determinations and the results of these appeals.
-Published RTI performance information is linked to the relevant agency, department, or other governmental entity.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.RTI/
Data: https://globaldatabarometer.org/",Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Performance Data,Legal Requirements,ati_data_03,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Annual Disclosure Requirement,ati_data_annual,60,Public authorities are required to report annually on the actions they have taken to implement their disclosure obligations. This includes statistics on requests received and how they were dealt with.,"From RTI Rating: Score Y/N, Y=2 points
",1,No; Yes,1,https://www.rti-rating.org/country-data/by-indicator/60/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Performance Data,Transparency,ati_data_04,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ati_data_online,A.PI.RTI.a.ONLINE,Is this data available online in any form?,"From GDB: While most countries have some form of right-to-information (RTI) or freedom-of-information (FOI) framework, in practice not all implementations of these frameworks have lived up to expectations.

This indicator focuses on the availability of administrative data describing the performance of a country's RTI/FOI processes. Such administrative data may be required by law or simply provided by governments as part of good practice

To assess the performance of an RTI/FOI regime, data should include information on: number of requests submitted; response times for filling requests; denials and reasons for withholding; and appeals and their results. Further, data should be linked to the relevant agency, department, or other governmental entity.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.RTI/
Data: https://globaldatabarometer.org/",Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Performance Data,Transparency,ati_data_05,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,High-Value Data,ati_data_highval,,,From GDB: ,,,1,Data: https://globaldatabarometer.org/,Core,1,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_01,T-Index,European Research Centre for Anti-Corruption and State-Building (ERCAS),2024,ERCAS,Financial Disclosures,ac_ad_financial,general_df_q9,Are financial disclosures of officials publicly available online?,"From the T-Index: 
Scores are determined as follows:
• Yes = Available for all officials required to declare
• Partial = Available only for part of the officials required to declare (e.g. top officials)
• No  = Not available online (or only upon request)",2,No; Partial; Yes,0,https://corruptionrisk.org/transparency/,Core,0,RCID_005,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_02,T-Index,European Research Centre for Anti-Corruption and State-Building (ERCAS),2024,ERCAS,Conflict of Interest Disclosures,ac_ad_pubcoi,general_df_q10,Are conflict of interest disclosures of officials publicly available online?,"From the T-Index: 
Scores are determined as follows:
• Yes = Available for all officials required to declare
• Partial = Available only for part of the officials required to declare (e.g. top officials)
• No  = Not available online (or only upon request)
Note: In cases where no specific interest disclosure is required but relevant information is included in the financial disclosures (e.g. shares in companies, financial disclosure of relatives) AND those are public, criteria for this question are also considered as fulfilled.",2,No; Partial; Yes,0,https://corruptionrisk.org/transparency/,Core,0,RCID_005,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_03,OECD Public Integrity Indicators,OECD,2023,OECD,Regulations,ac_ad_regulation,PII_3132_6,"Regulations define institutional responsibilities as well as submission, compliance, and content verification procedures for conflict-of-interest or interest declarations.","From OECD: Criteria 8 to 16 on financing of political parties and election campaigns are based on the Recommendation 1516 (2001) of the Council of Europe Parliamentary Assembly, the Recommendation (2003) 4 of the Committee of Ministers of the Council of Europe, the Council of Europe Venice Commission Guidelines on the Financing of Political Parties, (2001) and Code of Good Practice in Electoral Matters (2002); the Guidelines on Political Party Regulation by OSCE/ODIHR and Venice Commission (2010), and the UN Convention Against Corruption.",1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000402,Core,0,RCID_001,,RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_04,OECD Public Integrity Indicators,OECD,2023,OECD,Required Submitters,ac_ad_reqsub,PII_3132_10; PII_3132_11; PII_3132_9; PII_3132_7; PII_3132_8,"Required submitters: Who of the following must submit an asset declaration, as a minimum upon entry and any renewal or change in public office? 1) Any member of Government; 2) Any member of parliament; 3) Any member of highest bodies of judiciary; 4) Any public employee in a high-risk position; 5) Any newly appointed or reappointed top-tier civil servant of executive branch","From OECD: Criteria 8 to 16 on financing of political parties and election campaigns are based on the Recommendation 1516 (2001) of the Council of Europe Parliamentary Assembly, the Recommendation (2003) 4 of the Committee of Ministers of the Council of Europe, the Council of Europe Venice Commission Guidelines on the Financing of Political Parties, (2001) and Code of Good Practice in Electoral Matters (2002); the Guidelines on Political Party Regulation by OSCE/ODIHR and Venice Commission (2010), and the UN Convention Against Corruption.",1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000402,Core,1,RCID_001,,RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_05,OECD Public Integrity Indicators,OECD,2023,OECD,Asset Declarations,ac_ad_declaration,PII_3138_14,"Asset declarations of top-two-tiers of public employees in the executive branch, members of the judiciary, national elected officials are public.",From OECD: Assessment of websites of state administration bodies to determine the level of disclosure of the relevant information to fulfil the criteria below. National authorities are asked to provide reference to such datasets. This is validated by the OECD.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000409,Core,0,RCID_001,,RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_06,OECD Public Integrity Indicators,OECD,2023,OECD,Interest Declarations,ac_ad_interest,PII_3138_15,"Interest declarations of top-two-tiers of public employees in the executive branch, members of the judiciary, parliament, and government are public.",From OED: Assessment of websites of state administration bodies to determine the level of disclosure of the relevant information to fulfil the criteria below. National authorities are asked to provide reference to such datasets. This is validated by the OECD.,1,No; Yes,0,https://oecd-public-integrity-indicators.org/indicators/1000097/subindicators/1000409,Core,0,RCID_001,,RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_07,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_ad_pubreq,G.PI.IAD.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: Most countries around the world have a requirement that public officials declare their interests and assets. Some such requirements are motivated by a desire to avoid conflicts of interest, some to eliminate illicit enrichment, while others combine elements of the two.

There is substantial variance in whose interests and assets must be disclosed. Some frameworks only require public officials who hold specific positions to make financial disclosures, some require all public officials. Some frameworks limit disclosures to the interests and assets under the direct control of the public official alone, some require disclosures of interests and assets belonging to partners, family members, or other close associates.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Financial disclosures contain data on income, spending, assets, and debts.
-Declarations cover both financial interests (income, assets, and liabilities) and non-financial interests (gifts, hospitality, employment, memberships, etc.).
-Declarations are updated in a timely fashion; this includes regular updates, updates that are responsive to changes in position or in interests, assets, and liabilities, as well as ad hoc disclosures to respond to potential or actual conflicts of interest that may arise.
-Financial disclosures are published.
-Declarations must also disclose interests, assets, and liabilities held by a public official's partner, family members, or other close associates.
-A mandate is given to an independent agency or institution to examine declarations and/or investigate violations.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,RCID_005,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_08,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_ad_colreq,G.PI.IAD.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: Most countries around the world have a requirement that public officials declare their interests and assets. Some such requirements are motivated by a desire to avoid conflicts of interest, some to eliminate illicit enrichment, while others combine elements of the two.

There is substantial variance in whose interests and assets must be disclosed. Some frameworks only require public officials who hold specific positions to make financial disclosures, some require all public officials. Some frameworks limit disclosures to the interests and assets under the direct control of the public official alone, some require disclosures of interests and assets belonging to partners, family members, or other close associates.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Financial disclosures contain data on income, spending, assets, and debts.
-Declarations cover both financial interests (income, assets, and liabilities) and non-financial interests (gifts, hospitality, employment, memberships, etc.).
-Declarations are updated in a timely fashion; this includes regular updates, updates that are responsive to changes in position or in interests, assets, and liabilities, as well as ad hoc disclosures to respond to potential or actual conflicts of interest that may arise.
-Financial disclosures are published.
-Declarations must also disclose interests, assets, and liabilities held by a public official's partner, family members, or other close associates.
-A mandate is given to an independent agency or institution to examine declarations and/or investigate violations.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,RCID_001; RCID_004,,RCID_002; RCID_003; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_09,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_ad_online,A.PI.IAD.a.ONLINE,Is this data available online in any form because of government actions?,"From GDB: Interest and asset declarations’ data should provide a comprehensive overview of the financial state of all relevant public officials, clearly identifying their interests, assets, and liabilities, as well as gifts they receive. In addition to regular updates, such data should include information on any significant changes in an official's interests, assets, and liabilities—for example, it should be responsive to changes in employment. Declarations data should also use unique identifiers to clearly identify not only the public official but also any partners, family members, or other close associates that the country requires to disclose interests and assets as well.

Among other functions, it should be possible to use declarations data to verify that relevant public officials do not have interests that trigger conflict between their public responsibilities and private identity. Datasets may include information about interests that have been divested or placed in a blind trust or other mechanism designated by the country.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,RCID_007; RCID_008,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_10,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,High-Value Data,ac_ad_highval,A.PI.IAD.e.e1.OFFICIALID; A.PI.IAD.e.e1.IAL; A.PI.IAD.e.e1.NONFINANCIAL; A.PI.IAD.e.e1.CHANGE; A.PI.IAD.e.e1.FAMILY,How many high-value elements does the dataset cover?,"From GDB: Interest and asset declarations’ data should provide a comprehensive overview of the financial state of all relevant public officials, clearly identifying their interests, assets, and liabilities, as well as gifts they receive. In addition to regular updates, such data should include information on any significant changes in an official's interests, assets, and liabilities—for example, it should be responsive to changes in employment. Declarations data should also use unique identifiers to clearly identify not only the public official but also any partners, family members, or other close associates that the country requires to disclose interests and assets as well.

Among other functions, it should be possible to use declarations data to verify that relevant public officials do not have interests that trigger conflict between their public responsibilities and private identity. Datasets may include information about interests that have been divested or placed in a blind trust or other mechanism designated by the country.",5,0; 1; 2; 3; 4; 5,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.IAD/
Data: https://globaldatabarometer.org/",Core,1,RCID_001; RCID_004; RCID_008,,RCID_002; RCID_003; RCID_005; RCID_006; RCID_007; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Beneficial Ownership,Legal Requirements,ac_bo_01,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_bo_colreq,G.COMPANY.BOT.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: A beneficial owner is a natural person who has the right to some share or enjoyment of a corporate vehicle’s income or assets, or the right to direct or influence the entity’s activities. An individual can own control, or benefit from a corporate vehicle either directly or indirectly. (https://www.openownership.org/en/implementation/beneficial-ownership-glossary/)

Legally, both humans (natural persons) and companies (legal persons) can own, control, or benefit from companies. Sometimes, for purposes such as corruption, crime, or tax evasion, a human will seek to hide their ownership or control by using corporate vehicles like shell companies to obscure their identity. Beneficial owners are thus the individual human beings who ultimately own, wield control, or benefit, whether that’s openly or through corporate vehicles.

It’s important to recognize that the focus of this indicator is on beneficial ownership, rather than legal ownership, shareholders, or directors. In most countries, information on the legal ownership (shareholders) and day-to-day control (directors) of a company has long been available. However, because individuals could often stay anonymous—for example, by linking companies that own each other across jurisdictions with different disclosure requirements—countries have started to legislate separately for beneficial ownership registers.

Sometimes frameworks do not require a centralized register at all; instead, companies may be required to maintain their own registers without any more centralized disclosure. This indicator prioritizes disclosure. Disclosure doesn’t necessarily mean unfettered public access: sometimes frameworks establish a central register—or other unified access point—that law enforcement or other designated entities can access, but the general public cannot.


",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.COMPANY.BOT/
Data: https://globaldatabarometer.org/",Core,0,RCID_013,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
Anti-Corruption,Beneficial Ownership,Legal Requirements,ac_bo_02,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_bo_pubreq,G.COMPANY.BOT.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: A beneficial owner is a natural person who has the right to some share or enjoyment of a corporate vehicle’s income or assets, or the right to direct or influence the entity’s activities. An individual can own control, or benefit from a corporate vehicle either directly or indirectly. (https://www.openownership.org/en/implementation/beneficial-ownership-glossary/)

Legally, both humans (natural persons) and companies (legal persons) can own, control, or benefit from companies. Sometimes, for purposes such as corruption, crime, or tax evasion, a human will seek to hide their ownership or control by using corporate vehicles like shell companies to obscure their identity. Beneficial owners are thus the individual human beings who ultimately own, wield control, or benefit, whether that’s openly or through corporate vehicles.

It’s important to recognize that the focus of this indicator is on beneficial ownership, rather than legal ownership, shareholders, or directors. In most countries, information on the legal ownership (shareholders) and day-to-day control (directors) of a company has long been available. However, because individuals could often stay anonymous—for example, by linking companies that own each other across jurisdictions with different disclosure requirements—countries have started to legislate separately for beneficial ownership registers.

Sometimes frameworks do not require a centralized register at all; instead, companies may be required to maintain their own registers without any more centralized disclosure. This indicator prioritizes disclosure. Disclosure doesn’t necessarily mean unfettered public access: sometimes frameworks establish a central register—or other unified access point—that law enforcement or other designated entities can access, but the general public cannot.


",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.COMPANY.BOT/
Data: https://globaldatabarometer.org/",Core,0,RCID_013,,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012,RCID_001; RCID_002; RCID_003; RCID_004; RCID_005; RCID_006; RCID_007; RCID_008; RCID_009; RCID_010; RCID_011; RCID_012
